phenotype	NR	R	R	NR	R	R	R	R	NR	R	R	R	R	NR	R	NR	NR	R	NR	R	R	R	R	R	R	NR	R	R	R	NR	R	R	R	R	NR	R	R	R	R	NR
subject_id	Wargo.109865	Wargo.115690	Wargo.117349	Wargo.118369	Wargo.118370	Wargo.120662	Wargo.121296	Wargo.121409	Wargo.121891	Wargo.121892	Wargo.122114	Wargo.122410	Wargo.122412	Wargo.122637	Wargo.122639	Wargo.122724	Wargo.123009	Wargo.123197	Wargo.123305	Wargo.123704	Wargo.123986	Wargo.124418	Wargo.124419	Wargo.124421	Wargo.126747	Wargo.126802	Wargo.127261	Wargo.127262	Wargo.130510	Wargo.130511	Wargo.130801	Wargo.131051	Wargo.131300	Wargo.131302	Wargo.131512	Wargo.131541	Wargo.132265	Wargo.132266	Wargo.132268	Wargo.132538
Bacteria|Proteobacteria|Gammaproteobacteria|Pasteurellales|Pasteurellaceae	0	4	0	139	0	0	0	12	2	4	0	0	0	10	0	19	10	0	0	50	0	9	4	0	0	2	9	0	14	3	12	10	54	634	23	81	6	9	176	402
Bacteria|Fusobacteria|Fusobacteriia|Fusobacteriales|Fusobacteriaceae	0	0	0	35	0	6	0	8	0	0	28	10	0	0	0	4	0	4	0	233	16	16	2062	0	0	0	0	0	989	0	0	0	2	68	0	5	4	0	0	0
Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae	0	240	67	149	340	205	175	138	38	121	16	92	89	160	430	66	21	238	6	912	18	30	7	16	313	26	64	47	113	67	210	267	53	407	493	252	435	65	309	7
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiales_vadinBB60_group	0	442	755	7	0	18	0	0	5	139	0	77	11	5	0	30	0	0	0	0	0	33	0	0	193	16	105	211	0	0	0	0	0	0	5	323	0	111	65	0
Bacteria|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae	0	15	4	2	3	6	9	11	2	420	0	0	5	5	998	0	224	0	0	2	56	10	50	12	100	0	0	0	0	0	17	0	0	0	0	3	2	0	0	0
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Muribaculaceae	0	0	0	6	0	0	2	0	0	4	0	0	0	0	0	0	0	2	759	2	19	0	0	9	3	0	0	0	0	0	0	2	0	2	33	689	0	249	8	0
Archaea|Euryarchaeota|Methanobacteria|Methanobacteriales|Methanobacteriaceae	0	0	18	0	0	0	0	0	0	5	0	3	0	0	0	0	0	0	12	0	376	11	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	3	0	0
Bacteria|Actinobacteria|Coriobacteriia|Coriobacteriales|Coriobacteriales_Incertae_Sedis	0	0	0	11	43	0	2	0	4	28	0	3	0	0	0	4	0	0	4	0	20	24	0	0	234	0	18	0	8	0	0	0	0	0	14	19	0	0	0	0
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae	0	0	0	0	3	4	8	0	0	0	0	0	32	0	3	0	0	0	0	0	0	253	2	0	0	0	0	0	20	0	0	3	0	0	0	0	0	0	0	0
Bacteria|Epsilonbacteraeota|Campylobacteria|Campylobacterales|Campylobacteraceae	0	0	0	8	0	0	3	0	0	0	0	0	0	192	0	2	0	0	0	98	0	0	0	0	0	0	0	0	2	0	0	0	2	22	0	0	0	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Family_XIII	0	3	34	35	163	113	16	0	9	251	0	54	2	126	0	0	0	4	62	134	45	35	0	0	187	4	159	61	5	0	34	0	0	7	70	105	0	31	5	0
Bacteria|Actinobacteria|Coriobacteriia|Coriobacteriales|Eggerthellaceae	0	0	0	0	83	8	7	0	5	10	18	4	2	49	0	8	0	4	8	5	64	0	0	0	53	13	0	2	0	0	88	2	11	5	15	5	2	0	7	0
Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Pseudomonadaceae	0	0	0	0	5	5	11	7	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	211	0	0	0	3	0	0	0	2	3	0	0	0
Bacteria|Lentisphaerae|Lentisphaeria|Victivallales|vadinBE97	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	182	0	0	0	0
Archaea|Euryarchaeota|Thermoplasmata|Methanomassiliicoccales|Methanomethylophilaceae	0	0	0	0	0	0	0	0	0	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	176	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Bacilli|Lactobacillales|Leuconostocaceae	0	0	0	0	0	0	0	0	0	139	0	0	0	0	0	0	0	2	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Bacilli|Lactobacillales|Carnobacteriaceae	0	0	0	4	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	105	0	0	0	0	0	0	0	0	0	0	0	3	0	3	3	0	0	0	0
Bacteria|Firmicutes|Bacilli|Lactobacillales|Enterococcaceae	0	0	0	0	3	0	0	0	0	0	0	0	0	0	10	22	0	4	0	13	0	0	16	0	9	0	0	0	0	0	25	0	0	3	0	0	0	0	0	0
Bacteria|Firmicutes|Bacilli|Bacillales|Family_XI	0	0	0	0	3	0	0	2	0	0	0	0	0	3	0	0	0	0	0	0	21	0	0	0	8	5	0	0	0	3	7	4	7	7	0	4	5	2	4	5
Bacteria|Firmicutes|Clostridia|Clostridiales|Peptococcaceae	0	0	25	0	0	33	0	0	5	40	0	10	0	0	0	0	0	10	0	28	0	7	0	0	33	84	18	72	0	0	0	0	0	0	2	7	0	13	10	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Family_XI	0	0	31	13	26	11	75	20	0	0	0	0	4	0	3	0	0	0	0	0	26	35	0	0	3	0	0	3	57	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Actinobacteria|Coriobacteriia|Coriobacteriales|Atopobiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Epsilonbacteraeota|Campylobacteria|Campylobacterales|Arcobacteraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Lentisphaerae|Lentisphaeria|Victivallales|Victivallaceae	0	0	0	3	0	64	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	5	0	0
Archaea|Euryarchaeota|Thermoplasmata|Methanomassiliicoccales|Methanomassiliicoccaceae	0	4	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Bacilli|Bacillales|Staphylococcaceae	0	0	3	0	5	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Micrococcaceae	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	4	6	3	0	0	0	0
Bacteria|Verrucomicrobia|Verrucomicrobiae|Opitutales|Puniceicoccaceae	0	0	0	0	38	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Actinomycetaceae	0	0	4	0	5	0	0	3	2	0	0	0	0	10	2	0	0	0	0	6	22	0	0	0	0	0	0	0	0	0	10	2	0	7	0	0	0	0	4	5
Bacteria|Synergistetes|Synergistia|Synergistales|Synergistaceae	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	2	0	0
Bacteria|Proteobacteria|Alphaproteobacteria|Rickettsiales|Mitochondria	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	3	0	2	0	0	0	0	0	0	2	0	20	0	0	0	0	15	0
Bacteria|Proteobacteria|Gammaproteobacteria|Betaproteobacteriales|Neisseriaceae	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	7	5	0	5	5	0	0	0	0
Bacteria|Actinobacteria|Actinobacteria|Corynebacteriales|Corynebacteriaceae	0	0	3	4	3	0	12	3	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Moraxellaceae	0	0	4	3	4	0	9	4	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Eubacteriaceae	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	0	0	0	2	0	0	2	0	0	0	0	3	3	0	0	0	4	0	0	0	0	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Defluviitaleaceae	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	5	0	0
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Beijerinckiaceae	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Deferribacteres|Deferribacteres|Deferribacterales|Deferribacteraceae	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Bacilli|Lactobacillales|Aerococcaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
Bacteria|Bacteroidetes|Bacteroidia|Flavobacteriales|Weeksellaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Dermabacteraceae	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota|Incertae_Sedis|Incertae_Sedis_cl|Incertae_Sedis_or|Incertae_Sedis_fa	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Rhizobiaceae	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Actinobacteria|Thermoleophilia|Solirubrobacterales|Solirubrobacteraceae	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Proteobacteria|Gammaproteobacteria|Aeromonadales|Succinivibrionaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Fusobacteria|Fusobacteriia|Fusobacteriales|Leptotrichiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides	3243	2806	8962	16008	23745	24862	37415	29927	17705	2571	19112	4857	18494	13404	50	17325	14781	19965	16077	160	4904	10076	32533	32152	17230	21031	22268	20575	24347	21158	7362	35042	36603	7	31525	23768	31967	876	25831	5367
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella_9	8256	0	2	42562	0	5	4	0	0	956	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	5	0	0	0	0	0	2	0	4	0	2	0	1072	0	60639
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Tannerellaceae|Parabacteroides	482	168	6087	1694	1615	876	826	6290	377	782	1729	0	1090	0	3	0	545	2403	394	2	8745	387	2450	2469	1223	820	1114	1175	561	980	2684	0	3927	0	183	331	1749	1039	6066	768
Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacteriales|Enterobacteriaceae|Escherichia|Shigella	31	0	426	540	378	155	5456	232	16	0	7	91	11	912	1574	428	1464	0	0	0	770	148	180	1169	527	0	20	14411	9	13	862	3321	0	1994	16	0	0	3	6	1363
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Faecalibacterium	0	363	5843	1619	26	3555	44	5568	1073	4682	0	168	2002	4	5632	0	594	3026	624	419	2214	1537	0	1195	4958	2120	1510	1013	5340	868	106	806	3257	0	2894	4231	1477	3747	10111	1789
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Rikenellaceae|Alistipes	758	724	6510	2348	4410	3511	13	734	836	9642	315	2136	2321	7508	0	0	1649	1750	1806	2	567	871	2488	135	3429	1532	2519	3239	2324	1036	192	5048	1763	0	4897	6910	897	684	2517	28
Bacteria|Proteobacteria|Gammaproteobacteria|Betaproteobacteriales|Burkholderiaceae|Parasutterella	231	45	760	1615	0	1567	6	8917	637	11	1175	81	1535	0	0	0	1231	1209	233	0	85	0	1429	44	24	1012	387	60	2563	2066	0	0	0	0	42	661	18	14	1148	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Subdoligranulum	107	129	2446	786	2626	866	27	250	0	713	0	982	80	0	1276	0	272	0	120	0	1519	1030	8	3161	1876	676	413	852	520	97	2632	615	589	0	514	1643	1338	568	250	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Blautia	243	128	765	628	1018	869	2218	438	773	398	158	334	373	199	485	676	222	590	223	2246	1158	543	207	89	749	686	511	172	944	895	9663	428	2055	1510	2492	364	668	269	1461	307
Bacteria|Firmicutes|Negativicutes|Selenomonadales|Veillonellaceae|Dialister	67	0	392	0	5	3	433	703	1457	3	0	0	10	108	0	183	79	0	106	261	0	16	127	0	3	0	366	4	2	759	9357	2	0	314	322	532	166	45	0	110
Bacteria|Verrucomicrobia|Verrucomicrobiae|Verrucomicrobiales|Akkermansiaceae|Akkermansia	0	656	168	7	48	1429	153	22	0	166	0	3	1466	0	0	0	1569	0	699	0	726	103	5	4	1462	2	124	75	0	419	7501	0	0	2	3200	310	0	0	0	210
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Ruminococcus_2	0	353	6	90	7583	357	8	215	0	376	0	344	0	0	0	0	180	0	169	1007	4476	244	0	0	0	145	0	102	261	82	1069	0	0	0	0	751	1116	38	377	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Ruminiclostridium_6	0	0	4042	0	3377	0	7	2	180	225	0	91	7	0	0	0	0	0	63	14	15	33	0	0	703	104	5534	252	0	0	0	0	130	0	112	8	723	135	104	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Flavonifractor	58	0	56	9	1544	48	1266	852	168	50	172	11	192	188	3464	112	38	218	110	521	13	14	56	633	37	131	62	11	366	141	6	1457	92	2196	68	86	102	14	53	320
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Roseburia	41	40	1558	304	69	2294	36	456	205	68	0	264	393	378	224	796	283	1348	29	4841	65	338	0	0	939	255	922	104	134	169	8	23	0	8117	456	308	778	57	1042	193
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Lachnoclostridium	22	53	770	825	1456	1389	2563	632	1466	158	2860	250	892	1152	1685	890	78	666	124	2687	34	116	434	1150	748	385	158	143	654	1025	1220	1088	1156	7087	3246	829	393	299	910	513
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotellaceae_NK3B31_group	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11212	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Agathobacter	217	145	507	476	89	3204	271	868	13	190	0	412	88	0	1778	0	2054	0	423	166	142	566	0	461	1232	314	597	424	719	325	107	0	510	0	986	1816	28	51	652	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Herbinix	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9377	0	0	0	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Butyrivibrio	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9220	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Ruminococcaceae_UCG|005	0	129	1580	198	349	222	0	10	16	1109	0	735	3	130	0	0	77	0	24	1438	54	282	0	0	4187	57	67	879	3	12	0	0	0	0	119	210	44	1505	352	0
Bacteria|Firmicutes|Negativicutes|Selenomonadales|Acidaminococcaceae|Phascolarctobacterium	0	137	10	147	596	499	20	7	0	209	0	284	534	0	0	0	0	0	0	0	122	345	0	312	1225	431	0	131	1059	0	0	1393	426	0	0	0	0	43	570	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Ruminococcaceae_UCG|002	0	152	1192	253	13	1662	5	1913	484	912	5	69	23	0	0	0	7	0	139	276	2960	1825	0	1126	930	185	19	1308	0	0	0	0	15	0	2886	2506	39	881	233	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Fusicatenibacter	0	15	215	127	0	213	5	176	88	13	0	314	59	0	0	660	74	0	47	0	100	247	7	926	184	408	38	98	447	196	0	160	1241	0	187	417	373	169	427	21
Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacteriales|Enterobacteriaceae|Klebsiella	0	0	98	139	105	39	207	135	28	25	0	66	0	0	1111	26	1148	253	0	366	581	0	104	0	1829	0	0	125	0	0	173	0	0	0	0	7	0	0	49	221
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Ruminococcaceae_NK4A214_group	64	36	553	83	0	812	7	0	0	579	0	374	0	0	0	0	256	0	314	6476	19	258	0	0	724	0	107	379	0	12	0	0	0	0	166	815	51	365	78	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Ruminococcaceae_UCG|003	117	0	313	635	0	786	0	1142	0	84	0	7	156	0	0	0	0	16	88	0	2	282	0	518	943	241	0	231	0	0	0	441	0	0	0	552	0	146	286	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiaceae_1|Clostridium_sensu_stricto_1	0	62	5	0	2	0	0	4	0	3	0	18	42	61	11	12	3	0	42	61	6318	31	0	12	324	156	16	9	0	0	86	0	0	1747	271	77	0	6	3	3
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Oscillibacter	10	0	200	29	851	86	2	140	186	50	135	5	64	9	0	142	80	114	224	67	4	60	65	274	724	333	199	67	181	224	0	758	131	428	421	218	121	22	106	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Lachnospiraceae_NK4A136_group	14	25	1435	1309	3	1451	0	422	49	232	61	156	86	95	26	106	22	333	27	378	9	535	0	51	1221	83	5	326	86	29	0	293	106	0	1128	778	200	440	772	72
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Alloprevotella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1174	0	0	0	0	0	0	0	0	0	3	81	0	4818
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Ruminococcus_1	19	67	147	221	214	570	26	0	19	642	0	62	0	0	29	240	81	0	0	1723	0	623	0	0	16	15	13	40	0	0	66	0	0	0	412	3739	137	39	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Lachnospira	20	163	450	663	0	308	35	1479	16	329	0	219	49	27	152	0	282	199	15	403	53	406	0	293	1534	100	324	134	109	19	119	0	1579	0	425	1530	160	155	513	217
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Dysgonomonadaceae|Dysgonomonas	0	0	0	0	0	5	6	4	0	0	0	0	0	26	4641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Proteobacteria|Deltaproteobacteria|Desulfovibrionales|Desulfovibrionaceae|Bilophila	0	51	88	404	0	418	5	0	207	42	0	23	240	208	0	193	13	0	378	0	0	357	0	20	166	465	358	113	312	0	0	0	462	0	381	152	158	57	356	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Lachnospiraceae_UCG|004	146	0	180	687	0	211	0	2223	0	8	0	0	227	0	0	0	95	800	0	109	10	34	0	0	195	100	273	14	67	228	0	7	0	0	177	167	0	76	715	561
Bacteria|Proteobacteria|Gammaproteobacteria|Betaproteobacteriales|Burkholderiaceae|Sutterella	0	20	0	0	0	0	3	21	0	509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1448	216	2213	22	2	0	0	483	0	0	536	1009	1999	97	0	590
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Marinifilaceae|Odoribacter	98	36	315	381	0	157	0	770	259	58	90	58	0	0	0	0	83	185	60	0	46	202	0	0	175	112	171	317	100	36	0	0	0	0	118	215	184	18	178	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|UBA1819	0	0	27	6	416	43	121	19	35	26	43	168	57	251	127	84	8	17	117	506	130	62	3	0	96	40	30	75	15	20	23	93	66	641	236	57	72	7	49	13
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Eisenbergiella	0	0	4	0	133	0	48	6	0	0	15	144	0	370	0	9	0	0	0	269	8	22	0	4	94	0	0	0	17	0	436	101	40	1721	505	0	0	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Ruminococcaceae_UCG|013	0	5	72	34	53	14	13	221	17	5	0	95	10	183	0	349	10	12	34	231	22	111	0	0	392	67	9	44	24	0	174	137	24	936	27	147	542	69	31	0
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Barnesiellaceae|Barnesiella	0	221	0	1231	0	0	6	0	0	140	0	0	636	0	0	0	0	1383	0	0	0	944	0	768	2295	0	0	0	853	0	0	0	0	0	0	0	0	74	0	0
Bacteria|Actinobacteria|Coriobacteriia|Coriobacteriales|Coriobacteriaceae|Collinsella	0	0	3	18	328	10	127	0	0	9	0	8	0	0	0	0	10	0	44	0	1425	22	0	0	224	26	13	5	30	0	508	0	17	0	0	20	0	11	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Lachnoclostridium_10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2651	0	0	0	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Tyzzerella	0	3	0	0	0	0	90	1436	0	5	0	17	10	9	327	17	0	202	0	527	0	0	0	14	519	36	0	0	65	14	4	0	17	0	59	0	0	0	10	0
Bacteria|Firmicutes|Negativicutes|Selenomonadales|Acidaminococcaceae|Acidaminococcus	46	88	0	0	4	4	0	6	0	17	0	102	22	0	0	0	997	0	0	0	0	0	373	0	0	537	61	0	0	0	0	0	0	0	0	0	431	0	0	2
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Ruminiclostridium_9	18	3	230	69	254	274	0	94	187	78	71	89	268	76	99	0	93	210	231	145	39	64	5	0	176	174	94	68	255	177	6	300	355	0	434	90	165	26	88	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Ruminococcaceae_UCG|014	0	2144	1492	2420	3	0	4	0	0	2242	0	41	0	0	0	0	0	0	0	0	0	220	0	0	0	0	890	80	0	2	0	0	0	0	0	605	516	462	433	0
Bacteria|Actinobacteria|Actinobacteria|Bifidobacteriales|Bifidobacteriaceae|Bifidobacterium	2	14	16	39	0	0	2104	54	0	79	0	4	0	396	0	55	3	10	63	15	44	485	7	0	187	13	7	0	70	0	0	0	61	52	0	156	98	41	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Dorea	3	34	107	242	0	156	0	290	0	47	0	38	71	0	101	0	0	0	84	6	14	149	19	172	521	279	74	61	18	0	0	0	30	0	39	218	0	87	257	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Peptostreptococcaceae|Intestinibacter	0	0	0	0	0	3	848	0	0	0	0	0	106	143	61	0	0	0	7	174	8	0	0	0	190	23	11	0	0	4	196	0	2	344	0	70	21	0	22	0
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Barnesiellaceae|Coprobacter	0	8	0	13	2	0	0	0	196	0	0	0	0	0	0	0	0	146	21	0	53	0	0	85	0	0	0	0	117	344	0	0	1169	0	0	0	193	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|UC5|1|2E3	0	0	184	431	0	253	0	0	8	31	0	28	54	0	0	0	0	303	84	0	0	0	0	0	483	131	0	79	237	0	0	0	0	0	60	18	0	0	50	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Hungatella	0	0	5	0	92	26	55	33	5	8	55	38	0	1066	215	559	17	51	0	814	0	88	0	0	76	8	29	35	0	17	0	0	17	329	114	12	0	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|DTU089	0	7	17	2	123	3	177	0	7	101	0	4	6	233	10	0	3	0	18	38	10	14	0	0	0	4	198	13	12	22	3	1342	0	0	48	33	0	18	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Anaerostipes	0	4	33	39	27	67	188	21	118	90	47	59	33	617	0	71	9	10	15	20	150	172	60	0	115	30	76	0	9	144	16	4	225	116	166	71	15	79	100	9
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Intestinimonas	0	18	372	32	903	194	0	275	56	87	32	6	82	0	81	0	14	89	45	19	0	77	4	78	261	57	101	88	117	124	0	914	119	494	185	192	87	53	23	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Ruminiclostridium_5	30	56	52	49	168	78	531	20	68	166	18	55	35	246	70	46	18	17	51	44	112	87	20	19	575	41	41	90	79	9	117	1354	55	142	57	178	11	196	76	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Cellulosilyticum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2074	0	0	0	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Coprococcus_2	0	0	1560	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	853	0	0
